era,box_size,rank,classes
ckv,2,1,Shadowknight|Shaman
ckv,2,2,Monk|Shaman
ckv,2,3,Enchanter|Cleric
ckv,2,4,Enchanter|Druid
ckv,2,5,Warrior|Cleric
ckv,2,6,Shadowknight|Druid
ckv,2,7,Magician|Shaman
ckv,2,8,Necromancer|Shaman
ckv,2,9,Paladin|Shaman
ckv,2,10,Druid|Shaman
ckv,3,1,Shadowknight|Shaman|Monk
ckv,3,2,Shadowknight|Shaman|Wizard
ckv,3,3,Shadowknight|Shaman|Enchanter
ckv,3,4,Warrior|Cleric|Enchanter
ckv,3,5,Monk|Shaman|Enchanter
ckv,3,6,Magician|Shaman|Enchanter
ckv,3,7,Shadowknight|Druid|Enchanter
ckv,3,8,Warrior|Cleric|Rogue
ckv,4,1,Shadowknight|Shaman|Bard|Monk
ckv,4,2,Warrior|Cleric|Shaman|Monk
ckv,4,3,Shadowknight|Shaman|Enchanter|Wizard
ckv,4,4,Enchanter|Cleric|Bard|Magician
ckv,4,5,Warrior|Cleric|Enchanter|Rogue
ckv,4,6,Shadowknight|Druid|Enchanter|Magician
ckv,4,7,Monk|Shaman|Bard|Rogue
ckv,4,8,Paladin|Cleric|Shaman|Monk
ckv,5,1,Warrior|Cleric|Shaman|Bard|Monk
ckv,5,2,Warrior|Cleric|Shaman|Bard|Rogue
ckv,5,3,Shadowknight|Shaman|Bard|Monk|Monk
ckv,5,4,Shadowknight|Shaman|Enchanter|Wizard|Wizard
ckv,5,5,Enchanter|Cleric|Bard|Magician|Wizard
ckv,5,6,Shadowknight|Shaman|Enchanter|Magician|Magician
ckv,5,7,Warrior|Cleric|Enchanter|Magician|Wizard
ckv,5,8,Shadowknight|Druid|Enchanter|Wizard|Magician
ckv,6,1,Warrior|Cleric|Shaman|Bard|Monk|Monk
ckv,6,2,Warrior|Cleric|Shaman|Bard|Monk|Rogue
ckv,6,3,Shadowknight|Cleric|Shaman|Enchanter|Wizard|Wizard
ckv,6,4,Enchanter|Cleric|Bard|Magician|Magician|Wizard
ckv,6,5,Shadowknight|Shaman|Bard|Monk|Monk|Monk
ckv,6,6,Warrior|Cleric|Shaman|Enchanter|Monk|Rogue
ckv,6,7,Shadowknight|Shaman|Enchanter|Magician|Magician|Wizard
ckv,6,8,Warrior|Cleric|Bard|Enchanter|Wizard|Magician
ckv,6,9,Magician|Magician|Magician|Magician|Shaman|Wizard
ckv,6,10,Magician|Magician|Magician|Magician|Druid|Bard
luclin,2,1,Shadowknight|Shaman
luclin,2,2,Monk|Shaman
luclin,2,3,Enchanter|Cleric
luclin,2,4,Enchanter|Druid
luclin,2,5,Warrior|Cleric
luclin,2,6,Shadowknight|Druid
luclin,2,7,Magician|Shaman
luclin,2,8,Beastlord|Shaman
luclin,2,9,Ranger|Druid
luclin,2,10,Druid|Shaman
luclin,3,1,Shadowknight|Shaman|Wizard
luclin,3,2,Shadowknight|Shaman|Ranger
luclin,3,3,Shadowknight|Shaman|Monk
luclin,3,4,Warrior|Cleric|Enchanter
luclin,3,5,Enchanter|Cleric|Ranger
luclin,3,6,Magician|Shaman|Enchanter
luclin,3,7,Shadowknight|Druid|Wizard
luclin,3,8,Beastlord|Shaman|Ranger
luclin,4,1,Shadowknight|Shaman|Bard|Monk
luclin,4,2,Warrior|Cleric|Shaman|Ranger
luclin,4,3,Shadowknight|Shaman|Enchanter|Wizard
luclin,4,4,Enchanter|Cleric|Bard|Wizard
luclin,4,5,Shadowknight|Shaman|Druid|Magician
luclin,4,6,Warrior|Cleric|Bard|Ranger
luclin,4,7,Shadowknight|Druid|Enchanter|Wizard
luclin,4,8,Shadowknight|Shaman|Beastlord|Ranger
luclin,5,1,Warrior|Cleric|Shaman|Bard|Monk
luclin,5,2,Warrior|Cleric|Shaman|Bard|Ranger
luclin,5,3,Shadowknight|Shaman|Bard|Monk|Ranger
luclin,5,4,Shadowknight|Shaman|Enchanter|Wizard|Wizard
luclin,5,5,Enchanter|Cleric|Bard|Magician|Wizard
luclin,5,6,Shadowknight|Shaman|Enchanter|Magician|Magician
luclin,5,7,Warrior|Cleric|Enchanter|Wizard|Ranger
luclin,5,8,Shadowknight|Shaman|Bard|Beastlord|Ranger
luclin,6,1,Warrior|Cleric|Shaman|Bard|Monk|Monk
luclin,6,2,Warrior|Cleric|Shaman|Bard|Ranger|Monk
luclin,6,3,Shadowknight|Cleric|Shaman|Enchanter|Wizard|Wizard
luclin,6,4,Enchanter|Cleric|Bard|Magician|Magician|Wizard
luclin,6,5,Warrior|Cleric|Shaman|Bard|Ranger|Rogue
luclin,6,6,Shadowknight|Shaman|Bard|Monk|Ranger|Beastlord
luclin,6,7,Shadowknight|Shaman|Enchanter|Wizard|Wizard|Magician
